slug,title,category,internal_link_score,affiliate_relevance_score,revenue_opportunity,user_intent_match,tofu_mofu_bofu,overall_verdict,article_issues,notes
abc-mart-poikatsu,ABC-MARTでポイ活する方法!靴購入時のアプリ・決済チェック,shopping,5,30,MEDIUM,80,MOFU,REVIEW,ORPHAN_CANDIDATE;AFFILIATE_OPPORTUNITY_MEDIUM,本文リンク・CTAが一切なし。ABC-MARTのアフィリエイトプログラムがあれば導線追加を検討
aeon-point-tameru,イオンでポイントを効率よく貯める方法!WAON POINTと支払い方法の選び方,shopping,5,20,HIGH,80,MOFU,FIX_MEDIUM,ORPHAN_CANDIDATE;AFFILIATE_OPPORTUNITY_HIGH,イオンカードに言及しているのにCTA・内部リンクが皆無。イオンカード等のアフィリエイト導線を優先的に追加すべき
amazon-gift-charge,Amazonギフト券チャージで損しない考え方!支払い方法と使い切りのコツ,shopping,5,30,MEDIUM,80,MOFU,REVIEW,ORPHAN_CANDIDATE;AFFILIATE_OPPORTUNITY_MEDIUM,amazon-tsuhan-toha(Amazonアソシエイト導線あり)への内部リンク追加を推奨
amazon-poikatsu,Amazonでポイ活はできる?ポイントを貯める方法と注意点を解説,shopping,5,20,HIGH,85,MOFU,FIX_HIGH,ORPHAN_CANDIDATE;AFFILIATE_OPPORTUNITY_HIGH,「Amazonでポイ活」が中心テーマなのにamazon-tsuhan-toha(Amazonアソシエイト導線あり)への内部リンクが無い。最優先で追加すべき
amazon-tsuhan-toha,Amazonとは?特徴とポイントの貯め方をわかりやすく解説,shopping,35,95,NONE,95,BOFU,KEEP,,CVページとして機能良好。本文内部リンクが0件のため関連記事への導線を数本追加すると回遊性が向上
ana-furusato-mile,ANAのふるさと納税でマイルを貯める方法!旅行好き向けの基本,shopping,70,35,MEDIUM,85,MOFU,REVIEW,AFFILIATE_OPPORTUNITY_MEDIUM,furusato-portal-erabikata(CTAあり)への内部リンク追加でアフィリエイト導線に接続可能
ana-jal-mile-hikaku,ANAマイルとJALマイルはどっち?貯めやすさ・使いやすさを比較,shopping,85,40,LOW,90,MOFU,KEEP,,内部リンクが充実したハブ記事。ANA/JALカードのアフィリエイトがあれば導線追加の余地あり
ana-mile-tameru-kachi,ANAマイルを貯めるべき人・貯めない方がいい人を解説,shopping,80,40,LOW,85,MOFU,KEEP,,
ana-mileage-mall-poikatsu,ANAマイレージモールの使い方!通販前にマイルを貯める経由術,shopping,55,35,MEDIUM,80,MOFU,REVIEW,AFFILIATE_OPPORTUNITY_MEDIUM,本文リンクが1件のみ。ana-jal-mile-hikaku等との相互リンクを追加すると回遊性が向上
ana-mileageplus-hikaku,ANAマイルとMileagePlusはどっち?同じスターアライアンスで何が違う?,shopping,80,30,NONE,85,MOFU,KEEP,,海外マイル比較のためNO_AFFILIATE_NEEDEDに近い
au-uq-ponta,au・UQユーザーはPontaポイントにまとめるべき?相性の良いサービスを解説,shopping,85,35,MEDIUM,90,MOFU,REVIEW,AFFILIATE_OPPORTUNITY_MEDIUM,au PAYカード等のアフィリエイトCTA追加を検討する余地あり
aupay-market-poikatsu,au PAYマーケットでポイントを活用する方法!買い物前の確認ポイント,shopping,5,20,HIGH,80,MOFU,FIX_HIGH,ORPHAN_CANDIDATE;AFFILIATE_OPPORTUNITY_HIGH,aupay-market-toha(A8アフィリエイトCTAあり)への内部リンクが無い。追加を推奨
aupay-market-toha,au PAY マーケットとは?特徴とポイントの貯め方をわかりやすく解説,shopping,35,95,NONE,95,BOFU,KEEP,,
aupay-ponta,au PAYでPontaポイントを貯める方法!スマホ決済との組み合わせを解説,shopping,10,25,HIGH,85,MOFU,FIX_HIGH,AFFILIATE_OPPORTUNITY_HIGH,本文リンク0件。au-uq-pontaとの相互リンクとau PAY関連CTAの追加を推奨
biccamera-toha,ビックカメラ.comとは?特徴とポイントの貯め方をわかりやすく解説,shopping,35,60,MEDIUM,95,BOFU,REVIEW,AFFILIATE_OPPORTUNITY_MEDIUM,CTAは非アフィリエイトの公式直リンク。ビックカメラのアフィリエイトプログラムがあれば切り替えを検討
biyouin-salon-point,美容院・サロン代をポイントで節約!予約前に見るべき条件と使い方,shopping,5,20,HIGH,78,MOFU,FIX_MEDIUM,ORPHAN_CANDIDATE;AFFILIATE_OPPORTUNITY_HIGH,美容系予約アプリのアフィリエイトCTA追加の余地が大きい
bousai-goods-poikatsu,防災グッズ購入でポイ活する方法!備蓄を無駄なくそろえるコツ,shopping,5,30,MEDIUM,80,TOFU,REVIEW,ORPHAN_CANDIDATE;AFFILIATE_OPPORTUNITY_MEDIUM,Amazon/楽天等の通販モールへのリンク・CTA追加を検討
carshare-point-katsuyou,カーシェアでポイ活する方法とは?短時間利用の節約ポイントを解説,shopping,20,60,NONE,80,MOFU,REVIEW,,本文リンクが0件で単一のdカーシェアCTAのみ。他カーシェアサービスとの比較や内部リンクの充実を推奨
cashless-setsuyaku,キャッシュレス決済で節約する方法!現金派から始めるポイ活入門,shopping,5,30,LOW,78,TOFU,REVIEW,,code-kessai-4sha-hikaku等、決済比較記事への内部リンク追加を推奨
charge-route-point,チャージルートでポイントを増やす考え方!複雑にしすぎない決済設計,shopping,55,0,NONE,80,TOFU,KEEP,,NO_AFFILIATE_NEEDED(概念解説記事)
chuushajou-yoyaku-poikatsu,駐車場予約サービスでポイ活する方法!イベント前に確認したい条件,shopping,5,20,HIGH,78,MOFU,FIX_MEDIUM,ORPHAN_CANDIDATE;AFFILIATE_OPPORTUNITY_HIGH,駐車場予約サービス(akippa等)のアフィリエイトCTA追加の余地が大きい
cleaning-poikatsu,クリーニング代でポイントを貯める方法!宅配と店舗を比較するコツ,shopping,55,25,HIGH,80,MOFU,FIX_MEDIUM,AFFILIATE_OPPORTUNITY_HIGH,宅配クリーニングサービスのアフィリエイトCTA追加を推奨
code-kessai-4sha-hikaku,コード決済4社を徹底比較|PayPay・d払い・楽天ペイ・au PAY,shopping,75,35,MEDIUM,88,MOFU,REVIEW,AFFILIATE_OPPORTUNITY_MEDIUM,4社比較記事だがCTAが無い。各サービスのアフィリエイトがあれば追加を検討
coke-on-setsuyaku,Coke ONで飲み物代を節約する方法!スタンプ・チケット活用の基本,shopping,5,15,LOW,75,MOFU,REVIEW,ORPHAN_CANDIDATE,単一無料アプリのため優先度は低い
d-point-supermarket,dポイントが貯まるスーパー一覧|使える店舗・地域スーパーも比較,shopping,85,40,LOW,90,MOFU,KEEP,,TOCアンカー13件を含む充実したハブ記事
daimaru-matsuzakaya-toha,大丸松坂屋オンラインストアとは?特徴とポイントの貯め方をわかりやすく解説,shopping,35,95,NONE,90,BOFU,KEEP,,
demaecan-poikatsu,出前館でポイ活する方法!注文前に確認したい割引とポイント,shopping,5,20,HIGH,80,MOFU,FIX_MEDIUM,ORPHAN_CANDIDATE;AFFILIATE_OPPORTUNITY_HIGH,出前館のアフィリエイトCTA追加の余地が大きい
denryoku-norikae-point,電力会社乗り換えでポイントを貯める方法!料金比較と特典の見方,shopping,70,20,HIGH,85,MOFU,FIX_HIGH,AFFILIATE_OPPORTUNITY_HIGH,電力会社乗り換え系は代表的な高単価アフィリエイト案件。CTA追加を優先的に検討
docomo-ahamo-dpoint,ドコモ・ahamoユーザーはdポイントにまとめるべき?相性の良いサービスを解説,shopping,80,40,MEDIUM,90,MOFU,REVIEW,AFFILIATE_OPPORTUNITY_MEDIUM,dカード等、独自CTA追加の余地あり
docomo-select-toha,docomo selectとは?スマホアクセサリー購入とdポイントを解説,shopping,35,95,NONE,90,BOFU,REVIEW,ORPHAN_CANDIDATE,CTAは良好だが被リンクが0件。関連記事からの内部リンク追加が必要
doramori-point,ドラッグストアモリのポイントを解説|ポイントデー・使い方・キャッシュレス時の条件,shopping,60,10,LOW,80,TOFU,KEEP,,
doutor-tullys-poikatsu,ドトール・タリーズでポイ活する方法!カフェ利用時の支払い術,shopping,5,10,LOW,75,MOFU,REVIEW,ORPHAN_CANDIDATE,
dpoint-d-harai,d払いでdポイントを貯める方法!日常決済で活用するコツ,shopping,5,15,LOW,78,MOFU,REVIEW,ORPHAN_CANDIDATE,dpoint-kiso等への内部リンク追加を推奨
dpoint-hanei-sarenai,dポイントが反映されない原因は?dポイントマーケットの確認方法も解説,shopping,30,0,NONE,85,TOFU,KEEP,,NO_AFFILIATE_NEEDED(トラブルシューティング記事)
dpoint-kiso,dポイントの貯め方を初心者向けに解説!ドコモ以外の人でも使える?,shopping,5,20,LOW,80,TOFU,REVIEW,,本文リンクが0件。関連記事への導線を追加すると回遊性が向上
dpoint-ponta-hikaku,dポイントとPontaはどっちが得?貯め方・使える店・有効期限を比較,shopping,75,35,LOW,88,MOFU,FIX_LOW,VAGUE_ANCHOR,「詳しく見る →」という曖昧なアンカーが3箇所。具体的な文言に変更を推奨
dpoint-tsukaimichi,dポイントのおすすめの使い道!コンビニ・ドラッグストア・ネットで使う方法,shopping,5,15,LOW,80,MOFU,REVIEW,,本文リンクが0件。dpoint-kiso等への導線を追加推奨
drugstore-poikatsu,ドラッグストアでポイ活する方法!日用品・薬・コスメでポイントを貯める,shopping,75,30,LOW,85,MOFU,KEEP,,
drugstore-point-hikaku,ドラッグストアのポイントを徹底比較|マツキヨ・ウエルシア・スギ薬局・ツルハなど,shopping,85,40,LOW,90,MOFU,KEEP,,TOCアンカー8件を含む19本の内部リンクを持つ充実したハブ記事
dshopping-toha,dショッピングとは?特徴とポイントの貯め方をわかりやすく解説,shopping,35,95,NONE,95,BOFU,KEEP,,
ec-current-poikatsu,ECカレントとは?家電通販の特徴とポイント制度を解説,shopping,35,90,NONE,85,BOFU,KEEP,,
eigakan-point,映画館でポイントを貯める方法!チケット購入と会員制度の使い分け,shopping,5,25,MEDIUM,78,MOFU,REVIEW,ORPHAN_CANDIDATE;AFFILIATE_OPPORTUNITY_MEDIUM,
etc-mileage-toha,ETCマイレージサービスとは?高速道路利用者が知っておきたい基本,shopping,5,15,LOW,78,TOFU,REVIEW,ORPHAN_CANDIDATE,ETCカード発行系のアフィリエイトがあれば導線追加を検討
famiresu-cafe-point,ファミレス・カフェでポイントを貯める方法!外食前のアプリ確認術,shopping,5,10,LOW,75,MOFU,REVIEW,ORPHAN_CANDIDATE,
fastfood-app-poikatsu,ファストフードアプリでポイ活する方法!クーポンと決済を組み合わせるコツ,shopping,5,10,LOW,75,MOFU,REVIEW,ORPHAN_CANDIDATE,
