source_slug,source_title,source_category,link_type,target_url,target_title_or_service,anchor_text,section_heading,relevance_score,affiliate_network,revenue_opportunity,issue,recommended_action
amazon-tsuhan-toha,Amazonとは?特徴とポイントの貯め方をわかりやすく解説,shopping,F,https://www.amazon.co.jp?&linkCode=ll2&tag=pointoden-22&linkId=02edfff6d39a89591780fd192c70b4db&ref_=as_li_ss_tl,Amazon(Amazonアソシエイト),Amazonの公式サイトを見る 公式サイトへ移動します,こんな方におすすめ,5,Amazonアソシエイト,,,
ana-furusato-mile,ANAのふるさと納税でマイルを貯める方法!旅行好き向けの基本,shopping,A,furusato-nozei-poikatsu,ふるさと納税でポイ活はできる?ポイント還元と注意点をわかりやすく解説,ふるさと納税でポイ活はできる?,4. 控除手続きの注意,5,,,,
ana-furusato-mile,ANAのふるさと納税でマイルを貯める方法!旅行好き向けの基本,shopping,A,../category/mile,マイル比較・選び方カテゴリページ,マイルの比較・選び方,よくある質問,4,,,,
ana-jal-mile-hikaku,ANAマイルとJALマイルはどっち?貯めやすさ・使いやすさを比較,shopping,A,../category/mile#rengou,マイル比較カテゴリページ(航空連合セクション),マイル比較ページの航空連合セクション,スターアライアンスとワンワールドの違い,4,,,,
ana-jal-mile-hikaku,ANAマイルとJALマイルはどっち?貯めやすさ・使いやすさを比較,shopping,A,../articles/point-yuukoukigen-kanri,ポイントの有効期限を管理する方法!失効を防ぐチェック習慣,ポイントの有効期限を管理する方法!失効を防ぐチェック習慣,ANAマイルとJALマイルの有効期限はほぼ同じ?,4,,,,
ana-jal-mile-hikaku,ANAマイルとJALマイルはどっち?貯めやすさ・使いやすさを比較,shopping,A,../articles/rakuten-ana-mile-koukan,楽天ポイントをANAマイルに交換できる?交換ルートと注意点を解説,楽天ポイントをANAマイルに交換できる?交換ルートと注意点を解説,共通ポイントから貯めるならANAとJALどっち?,4,,,,
ana-jal-mile-hikaku,ANAマイルとJALマイルはどっち?貯めやすさ・使いやすさを比較,shopping,A,../articles/ponta-mile-koukan,Pontaポイントをマイルや他社ポイントに交換する方法!使い道を広げるコツ,Pontaポイントをマイルや他社ポイントに交換する方法!使い道を広げるコツ,共通ポイントから貯めるならANAとJALどっち?,3,,,,
ana-jal-mile-hikaku,ANAマイルとJALマイルはどっち?貯めやすさ・使いやすさを比較,shopping,A,../articles/vpoint-tasha-koukan,Vポイントを他社ポイントへ交換する方法!交換先の選び方と注意点,Vポイントを他社ポイントへ交換する方法,共通ポイントから貯めるならANAとJALどっち?,3,,,,
ana-jal-mile-hikaku,ANAマイルとJALマイルはどっち?貯めやすさ・使いやすさを比較,shopping,A,../category/common-point,共通ポイント5種の比較カテゴリページ,共通ポイント5種の比較ページ,共通ポイントから貯めるならANAとJALどっち?,4,,,,
ana-jal-mile-hikaku,ANAマイルとJALマイルはどっち?貯めやすさ・使いやすさを比較,shopping,A,../articles/ana-mile-tameru-kachi,ANAマイルを貯めるべき人・貯めない方がいい人を解説,ANAマイルを貯めるべき人・貯めない方がいい人を詳しく見る →,ANAマイルが向いている人,5,,,,
ana-jal-mile-hikaku,ANAマイルとJALマイルはどっち?貯めやすさ・使いやすさを比較,shopping,A,../category/mile#ana,マイル比較カテゴリページ(ANAセクション),マイル比較ページのANAマイル詳細を見る →,ANAマイルが向いている人,4,,,,
ana-jal-mile-hikaku,ANAマイルとJALマイルはどっち?貯めやすさ・使いやすさを比較,shopping,A,../articles/ana-mileage-mall-poikatsu,ANAマイレージモールの使い方!通販前にマイルを貯める経由術,ANAマイレージモールの使い方を見る →,ANAマイルが向いている人,5,,,,
ana-jal-mile-hikaku,ANAマイルとJALマイルはどっち?貯めやすさ・使いやすさを比較,shopping,A,../articles/jal-mile-tameru-kachi,JALマイルを貯めるべき人・貯めない方がいい人を解説,JALマイルを貯めるべき人・貯めない方がいい人を詳しく見る →,JALマイルが向いている人,5,,,,
ana-jal-mile-hikaku,ANAマイルとJALマイルはどっち?貯めやすさ・使いやすさを比較,shopping,A,../category/mile#jal,マイル比較カテゴリページ(JALセクション),マイル比較ページのJALマイル詳細を見る →,JALマイルが向いている人,4,,,,
ana-jal-mile-hikaku,ANAマイルとJALマイルはどっち?貯めやすさ・使いやすさを比較,shopping,A,../articles/mile-koukan-merit,ポイントをマイルに交換するメリットは?旅行好き向けポイ活入門,ポイントをマイルに交換するメリットは?旅行好き向けポイ活入門 →,JALマイルが向いている人,4,,,,
ana-jal-mile-hikaku,ANAマイルとJALマイルはどっち?貯めやすさ・使いやすさを比較,shopping,A,../category/mile,マイル比較カテゴリページ,ANA・JAL・海外マイルを比較,ANA・JALマイルを無理に貯めなくてもよい人,4,,,,
