source_slug,source_title,source_category,position,band,destination_slug,destination_title,destination_category,module_name
abc-mart-poikatsu,ABC-MARTでポイ活する方法!靴購入時のアプリ・決済チェック,shopping,1,4_same_thumb_type,bousai-goods-poikatsu,防災グッズ購入でポイ活する方法!備蓄を無駄なくそろえるコツ,shopping,popular_articles
abc-mart-poikatsu,ABC-MARTでポイ活する方法!靴購入時のアプリ・決済チェック,shopping,2,4_same_thumb_type,cashless-setsuyaku,キャッシュレス決済で節約する方法!現金派から始めるポイ活入門,shopping,popular_articles
abc-mart-poikatsu,ABC-MARTでポイ活する方法!靴購入時のアプリ・決済チェック,shopping,3,4_same_thumb_type,dpoint-kiso,dポイントの貯め方を初心者向けに解説!ドコモ以外の人でも使える?,shopping,popular_articles
abc-mart-poikatsu,ABC-MARTでポイ活する方法!靴購入時のアプリ・決済チェック,shopping,4,4_same_thumb_type,hasuu-shiharai-point,端数支払いでポイントを使う方法!少額ポイントを無駄にしないコツ,shopping,popular_articles
abc-mart-poikatsu,ABC-MARTでポイ活する方法!靴購入時のアプリ・決済チェック,shopping,5,4_same_thumb_type,hyakkaten-depart-poikatsu,百貨店のポイントを比較!高島屋・三越伊勢丹・大丸松坂屋など,shopping,popular_articles
abc-mart-poikatsu,ABC-MARTでポイ活する方法!靴購入時のアプリ・決済チェック,shopping,6,4_same_thumb_type,kikangentei-point-tsukaimichi,期間限定ポイントのおすすめ使い道|失効前にすぐ使える交換先ガイド,shopping,popular_articles
abc-mart-poikatsu,ABC-MARTでポイ活する方法!靴購入時のアプリ・決済チェック,shopping,7,4_same_thumb_type,nanaco-point-kiso,nanacoポイントの貯め方と使い方!セブン系で活用する基本,shopping,popular_articles
abc-mart-poikatsu,ABC-MARTでポイ活する方法!靴購入時のアプリ・決済チェック,shopping,8,4_same_thumb_type,net-shopping-point-kiso,ネットショッピングでポイントを貯める方法!楽天・Yahoo・Amazonの基本,shopping,popular_articles
abc-mart-poikatsu,ABC-MARTでポイ活する方法!靴購入時のアプリ・決済チェック,shopping,9,4_same_thumb_type,nyuugaku-shingaku-junbi-point,入学・進学準備でポイントを貯める方法!学用品購入の節約術,shopping,popular_articles
abc-mart-poikatsu,ABC-MARTでポイ活する方法!靴購入時のアプリ・決済チェック,shopping,10,4_same_thumb_type,paypay-point-kiso,PayPayポイントとは?貯め方・使い方・注意点を初心者向けに解説,shopping,popular_articles
