slug,title,category,inbound_before,inbound_after,orphan_before,orphan_after,has_affiliate_cta,used_fallback,popular_articles_candidates
abc-mart-poikatsu,ABC-MARTでポイ活する方法!靴購入時のアプリ・決済チェック,shopping,0,16,TRUE,FALSE,FALSE,FALSE,bousai-goods-poikatsu;cashless-setsuyaku;dpoint-kiso;hasuu-shiharai-point;hyakkaten-depart-poikatsu;kikangentei-point-tsukaimichi;nanaco-point-kiso;net-shopping-point-kiso;nyuugaku-shingaku-junbi-point;paypay-point-kiso
aeon-point-tameru,イオンでポイントを効率よく貯める方法!WAON POINTと支払い方法の選び方,shopping,0,5,TRUE,FALSE,FALSE,FALSE,waon-point-chigai;waon-point-kiso;hahanohi-chichinohi-gift-point;qoo10-poikatsu;rakuten-ichiba-kaimawari;welcia-point;welkatsu-poikatsu;drugstore-point-hikaku;point-toushi-unyou-service-hikaku;rakuten-ichiba-toha
aeoncompass-travelmall-poikatsu,イオンコンパストラベルモール(レンタカー予約)とは?WAON POINTを貯める方法,campaign,28,19,FALSE,FALSE,TRUE,FALSE,aeoncompass-travelmall-yado-poikatsu;airtrip-poikatsu;jalan-net-poikatsu;travelist-kaigai-poikatsu;travelist-poikatsu;yahoo-travel-poikatsu;paypay-campaign-katsuyo;rakuten-travel-supersale-poikatsu;yahoo-travel-tsukaikata;airtrip-tsukaikata
aeoncompass-travelmall-yado-poikatsu,イオンコンパストラベルモール(宿泊予約)とは?WAON POINTが貯まる予約サービス,campaign,28,28,FALSE,FALSE,TRUE,FALSE,aeoncompass-travelmall-poikatsu;airtrip-poikatsu;jalan-net-poikatsu;travelist-kaigai-poikatsu;travelist-poikatsu;yahoo-travel-poikatsu;paypay-campaign-katsuyo;rakuten-travel-supersale-poikatsu;yahoo-travel-tsukaikata;airtrip-tsukaikata
ahamo-hikari-poikatsu,ahamo光とは?料金・dポイント特典・工事費無料の条件を解説,seikatsu,6,15,FALSE,FALSE,TRUE,FALSE,docomo-ahamo-dpoint;dpoint-dharai-tamekata;dpoint-tsukaikata;ana-hikari-poikatsu;auhikari-poikatsu;biglobe-hikari-poikatsu;docomo-denki-poikatsu;nifty-docomo-hikari-poikatsu;rakuten-hikari-poikatsu;rakuten-mobile-poikatsu
ahamo-toha,ahamoとは?月額料金とdポイントの貯め方をわかりやすく解説,seikatsu,1,16,FALSE,FALSE,TRUE,FALSE,kakuyasu-sim-norikae-poikatsu;dcarshare-toha;dhealthcare-toha;dmagazine-toha;hikaritv-toha;jalan-golf-toha;lemino-premium-toha;anshin-security-toha;busnoru-poikatsu;dhits-toha
airtrip-poikatsu,エアトリポイントの使い道は?貯め方・有効期限をわかりやすく解説,campaign,28,23,FALSE,FALSE,TRUE,FALSE,airtrip-tsukaikata;rakuten-travel-supersale-entry-coupon;aeoncompass-travelmall-poikatsu;aeoncompass-travelmall-yado-poikatsu;jalan-net-poikatsu;travelist-kaigai-poikatsu;travelist-poikatsu;yahoo-travel-poikatsu;paypay-campaign-katsuyo;rakuten-travel-supersale-poikatsu
airtrip-tsukaikata,エアトリで旅行予約ポイ活!航空券購入前に見るべき費用とポイント,campaign,2,11,FALSE,FALSE,TRUE,FALSE,airtrip-poikatsu;shukuhaku-yoyaku-point;ame-heijitsu-campaign-poikatsu;black-friday-poikatsu;poikatsu-campaign-shippai-boushi;rakuten-travel-supersale-poikatsu;yahoo-travel-tsukaikata;jalan-net-poikatsu;yahoo-travel-poikatsu;paypay-campaign-katsuyo
amazon-gift-charge,Amazonギフト券チャージで損しない考え方!支払い方法と使い切りのコツ,shopping,0,18,TRUE,FALSE,FALSE,FALSE,amazon-poikatsu;chuushajou-yoyaku-poikatsu;dpoint-hanei-sarenai;furusato-nozei-poikatsu;game-kakin-point;halloween-yohin-poikatsu;hikkoshi-seikatsuyohin-poikatsu;iryouhi-shohouyaku-point;koukyou-ryokin-poikatsu;maebarai-shisugi-poikatsu
amazon-poikatsu,Amazonでポイ活はできる?ポイントを貯める方法と注意点を解説,shopping,0,18,TRUE,FALSE,FALSE,FALSE,amazon-gift-charge;chuushajou-yoyaku-poikatsu;dpoint-hanei-sarenai;furusato-nozei-poikatsu;game-kakin-point;halloween-yohin-poikatsu;hikkoshi-seikatsuyohin-poikatsu;iryouhi-shohouyaku-point;koukyou-ryokin-poikatsu;maebarai-shisugi-poikatsu
